School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
Campbell-Tintah Public Schools		852	27.5	48.3	<1000								
HIBBING PUBLIC SCHOOL DISTRICT	N	701	23	48	1000-2999					Star	FastBridge		
PILLAGER PUBLIC SCHOOL DISTRICT	N	116	20.6	47.6	1000-2999								
SWANVILLE PUBLIC SCHOOL DISTRICT	N	486	14.3	43	<1000								
TRUMAN PUBLIC SCHOOL DISTRICT	N	458	25.6	66.3	<1000								
DAVINCI ACADEMY	Y	4185	14.3	32.6	<1000								
AITKIN PUBLIC SCHOOL DISTRICT	N	1	17.9	51	1000-2999								
BYRON PUBLIC SCHOOL DISTRICT	N	531	11.2	15.4	1000-2999								
SOUTH KOOCHICHING SCHOOL DISTRICT	N	363	23.4	58.9	<1000					Star			
CLOQUET PUBLIC SCHOOL DISTRICT	N	94	23.4	48.1	1000-2999								
WATERVILLE-ELYSIAN-MORRISTOWN	N	2143	17.3	38.5	<1000								
Dassel-Cokato Public Schools	N	466	13.6	32.9	1000-2999								
Clarkfield Area Charter School	Y	4172											
PARKERS PRAIRIE PUBLIC SCHOOL DIST.	N	547	20.9	33.1	<1000								
Cross River Charter School													
LANCASTER PUBLIC SCHOOL DISTRICT	N	356	26.5	53.6	<1000								
LANCASTER PUBLIC SCHOOL DISTRICT	N	356	26.5	53.6	<1000								
BRANDON-EVANSVILLE PUBLIC SCHOOLS	N	2908	21.3	38.3	<1000								
INVER GROVE HEIGHTS SCHOOLS	N	199	15.5	53.7	3000-3999								
NEW ULM PUBLIC SCHOOL DISTRICT	N	88	19.2	35.9	1000-2999								
BATTLE LAKE PUBLIC SCHOOL DISTRICT	N	542	15.5	40.4	<1000								
OGILVIE PUBLIC SCHOOL DISTRICT	N	333	27.2	49.8	<1000								
International Spanish Language Acad	Y	4167	7.1	16.4	<1000								
LAFAYETTE PUBLIC CHARTER SCHOOL													
COMMUNITY SCHOOL OF EXCELLENCE	Y	4181	7.6	89.2	1000-2999								
ST. CLAIR PUBLIC SCHOOL DISTRICT	N	75	13.9	26.6	<1000								
BLOOMING PRAIRIE PUBLIC SCHOOL DIST	N	756	17.2	39.9	<1000								
BRAHAM PUBLIC SCHOOL DISTRICT	N	314	21.5	50.8	<1000		39.50%	Journey's	PRESS, Write-In Reader, Reading Tool Kit, Pearson SRA, Reapeted Reading, Reading A-Z, Read Naturally	FastBridge		FAST earlyReading, aReading, CBMR	Information Not Available
BRECKENRIDGE PUBLIC SCHOOL DISTRICT	N	846	23.8	48.1	<1000								
East Grand Forks Public Schools	N	595	21.5	38.1	1000-2999								
FOSSTON PUBLIC SCHOOL DISTRICT	N	601	17.9	54.6	<1000								
HOPKINS PUBLIC SCHOOL DISTRICT	N	270	16.6	42.6	5000-9999								
HOUSTON PUBLIC SCHOOL DISTRICT	N	294	20.1	60.4	1000-2999								
St. Francis Area Schools	N	15	17.2	34.5	4000-4999								
STAPLES-MOTLEY SCHOOL DISTRICT	N	2170	22.3	48.7	<1000								
ROSEVILLE PUBLIC SCHOOL DISTRICT	N	623	15.7	51.4	5000-9999								
DULUTH PUBLIC SCHOOL DISTRICT	N	709	20.7	43	5000-9999								
BELLE PLAINE PUBLIC SCHOOL DISTRICT	N	716	19.6	28.6	1000-2999								
KALEIDOSCOPE CHARTER SCHOOL	Y	4118	22.9	34.7	<1000								
LAKE CITY PUBLIC SCHOOL DISTRICT	N	813	15.5	37.5	1000-2999								
Level Up Academy	Y	4233	23.2	52.6	<1000								
MAHTOMEDI PUBLIC SCHOOL DISTRICT	N	832	13.4	15	3000-3999								
MARTIN COUNTY WEST SCHOOL DISTRICT	N	2448	16.2	48.8	<1000								
MENAHGA PUBLIC SCHOOL DISTRICT	N	821	17.9	57.6	<1000								
MOOSE LAKE PUBLIC SCHOOL DISTRICT	N	97	17.3	42.8	<1000								
MORRIS AREA PUBLIC SCHOOLS	N	2769	14.7	34.5	1000-2999								
PIERZ PUBLIC SCHOOL DISTRICT	N	484	15.6	39	1000-2999								
RED LAKE COUNTY CENTRAL PUBLIC SCH	N	2906	14.8	48.2	<1000								
TRI-CITY UNITED SCHOOL DISTRICT	N	2905	18.2	45.9	1000-2999								
Twin Cities International Schools	Y	4078	4.9	>90	<1000								
FAIRMONT AREA SCHOOL DISTRICT	N	2752	15.8	56	1000-2999	49.6	40.10%	ReadyGen and Perspectives literacy	Information Not Available	Information Not Available		Information Not Available	Information Not Available
A.C.G.C. District	N	2396	24.8	53.8	<1000	39.3	31.00%		WIN (What I Need) 6 weeks small group with licensed teacher	FastBridge		Lexile number Pearson Reading Series Accelerated Reader	
Blackduck Public Schools	N	32	20.5	64.7	<1000	37.7	34.90%	Wonders 2020		NWEA-MAP		Growth Reading Test Oral Reading Fluency (3x year) Quick Phonics Screener Developmental Spelling Wonders High Frequency Words	NWEA MAP Reading Growth Test Quick Phonics Screener Oral Reading Fluency
YINGHUA ACADEMY	Y	4140	7.3	19.1	<1000	73.3	43.20%	2013 Reading Street series (K-4), Prentice Hall Lit. (Grd. 7-8)	Information Not Available	NWEA-MAP		NWEA KG-2 Screening and skills test (Grd 2-3), NWEA Reading Assessment (Grd 4)	NWEA Growth test, Star testing reading (3x per year), Accelrated Reader (Grades 5 +)
WESTBROOK-WALNUT GROVE SCHOOLS	N	2898	21	58.3	<1000	43.3	26.00%	Houghton-Mifflin Harcourt Journeys,	Information Not Available	AIMSweb		AIMSweb ORF (1st-3rd grade), AIMSweb letter naming fluency, sound fluency, nonsense word and phoneme segmenting (K-1st grade), AIMSweb Word reading fluency (1st grade)	AIMSweb ORF (1st-3rd grade), AIMSweb letter naming fluency, sound fluency, nonsense word and phoneme segmenting (K-1st grade), AIMSweb Word reading fluency (1st grade)
Browns Valley	N	801	22.2	71.7	<1000	34.5	24.50%	Treasures & Houghton Mifflin curriculum - Fundations supplemental word study program	Random Automatic Naming	NWEA-MAP	FastBridge	PELI - Preschool early literacy indicators (alphabet knowledge, vocab and oral language, phonological awareness, listening comprehension) Onset sounds Word Segments  Letter naming and sounding Nonsense words Sight words Oral reading fluency	PELI - Preschool early literacy indicators (alphabet knowledge, vocab and oral language, phonological awareness, listening comprehension)  Onset sounds  Word Segments  Letter naming and sounding  Nonsense words  Sight words  Oral reading fluency
Chokio-Alberta Public Schools	N	771	25	43.2	<1000	42.7	39.30%	RIT bands?		FastBridge	n/a	aReading Compostie score Letter sounds Phonics/Decoding High Frequency/Sight words Phonemic Awareness	Oral reading fluency Letter sounds Phonics/Decoding High Frequency/Sight words Phonemic Awareness
Fertile-Beltrami Public School	N	599	13.7	43.7	<1000	60.1	49.10%			FastBridge	Benchmark Assessment System	Letter sound fluency Phoneme Seg Fluency Sight words Guided Reading Instructional level Lexile level MAZE	FastBridge Progress Monitoring probes Benchmark Assesment System Fry Word list Running Records Miscue Analysis of Running Records from Guided Reading books 
Friendship Academy of the Arts	Y	4079	8.9	85.3	<1000	11.8	9.80%	Great Minds Houghton Mifflin Curriculum		NWEA-MAP		?	?
Hennepin Schools	Y	4205	8.8	>90	<1000	40.6	38.80%	Information Not Available	Information Not Available	NWEA-MAP	Other	NWEA-MAP, W-APT	NWEA-MAP, Independent Reading Level Assessment Framework (IRLA)
WABASSO PUBLIC SCHOOL DISTRICT	N	640	14.3	46.8	<1000	51.9	42.90%	Balanced literacy plan: Reading Street Common Core Literacy Program, Guided Reading Literacy Footprints, Words Their Way	Read Naturally, Explode the Code, SRA, Rewards, Seeing Stars, Phone Blending and Segmenting, Blending Words, Newscaster, Duet Reading, Rime Magic	AIMSweb		AIMSweb ORF (1st-3rd grade), AIMSweb letter naming fluency, sound fluency, AIMSweb Word voacbulary, comprehension(2nd grade)	Star reading assessments
KITTSON CENTRAL SCHOOL DISTRICT	N	2171	14	33.9	<1000	50	41.50%	Storytown Reading Curriculum	Information Not Available	NWEA-MAP	Star	NWEA reading assessments, grade specific assessments from Storytown, Star Early Literacy, Accelaerated Reader and Reading tests	NWEA reading assessments
Pine Island Public School District		255	14.5	20.2	1000-2999	56.8	42.00%	Wonders McGraw-Hill reading, LETRS	Read Naturally, My Sidewalks, PRESS, Discover Intensive Phonics, Earobics, ReadWell, Road to the Code, Great Leaps etc.	FastBridge		FastBridge EarlyReading and aReading	FastBridge EarlyReading and aReading
Star of the North Academy Charter S	Y	4224	9.1	89.8	<1000	39.1	29.30%	Houghton Mifflin Journeys	Information Not Available	NWEA-MAP		NWEA Assessments	Information Not Available
Innovation Sci & Tech Academy	Y	4282	6	85.1	<1000	50	N/A	Information Not Available	Information Not Available			NWEA Assessments (phonemic awareness, fluency, vocabulary, comprehension)	NWEA Assessments (phonemic awareness, fluency, vocabulary, comprehension)
BROWERVILLE PUBLIC SCHOOL DISTRICT	N	787	17.7	56.3	<1000	39.5	29.20%	Houghton Mifflin Journeys	Leveled Library, Haggerty Phonemic Awareness, Freckle Reading, Early Intervention in Reading, Moby Max, Summer Reading Program, Spelling City	FastBridge		FastBridge reading	FastBridge reading, Freckle, Houghton-Mifflin curriculum assessments. IXL Language Arts
CARLTON PUBLIC SCHOOL DISTRICT	N	93	21.6	43	<1000	46.3	39.20%	Lucy Caulkins Literacy (Primary) + Benchmark Adavanced Curriculum	Interventions based on Big Five	FastBridge	Star	FastBridgeBridge assessment suite, Star Comprehension, Brigance Inventory of Early Development and Individual Growth and Development (PreK)	FastBridge Letter Sounds, Word Segmenting, Letter Names, Dolch, CBM Reading, Star Comprehension
CASS LAKE-BENA PUBLIC SCHOOLS	N	115	22.6	83.5	1000-2999	22.3	14.80%	Reading Wonders McGraw Hill	Leveled Literacy Intervention, PRESS, Early Intervention in Reading	Star	AIMSweb	Renaissance Star Enterprise, Benchmark Assessment (Fountas & Pinnell), AIMSweb	Star Reader/Early Literacy, AIMSweb
CYBER VILLAGE ACADEMY	Y	4025	30.5	38.1	<1000	45.9	20.70%	Information Not Available	Information Not Available	NWEA-MAP		NWEA-MAP/MPG,	Information Not Available
EXCELL ACADEMY CHARTER	Y	4068	10.8	>90	<1000	27.2	27.00%	National Geographic’s REACH curriculum	PRESS, Small Group Direct Instruction, WIN groups, Corrective Reading	FastBridge		FastBridgebridge earlyReading and CBMReading,	MAP Primary Assessment, NWEA Assessment
Gateway STEM Academy	Y	4264	5.1	>90	<1000	11.5	12.10%	Benchmark Universe	iReady Instruction, LLI	i-Ready		iReady Diagnostic	earlyReading Taks assessments, iReady Instruction
Horizon Science Academy Twin Cities	Y	4267	10.8	>90	<1000	16.1	16.10%	Journeys Curriculum by Houghton Mifflin	Information Not Available	NWEA-MAP		NWEA-MAP	Star Assessments, Benchmark assessments of Journeys Curriculum
HUTCHINSON PUBLIC SCHOOL DISTRICT	Y	423	18.3	37.5	1000-2999	57.4	42.70%	National Geographic Reach for Reading (K – 2), Read Side by Side,	PRESS, Sonday, Word Building (Beck & Beck), Sound Detective Kit, ROAR, Duet reading, incremental rehearsal, Repeated Reading	FastBridge		FastBridge CBM-R, earlyReading, FastBridge aReading	FastBridge CBM-R, earlyReading assessments
La Crescent Montessori & STEM Schoo	N	4054	24.2	37.4	<1000	56.4	N/A	Montessori reading curriculum	Orton-Gillingham, Peer Assisted Learning (PALS), Earobics, Repeated Oral Assited Reading, Six Minute Solutions	AIMSweb		AIMSweb TEL, CBM, Albanesi Grade Achievment Test	Information Not Available
Marine Area Community School	Y	4254	28.3	16	<1000	58.9	N/A	Wonders by McGraw Hill	Information Not Available	NWEA-MAP		NWEA-MAP, Fountas & Pinnell Benchmarking System	Wonders Assessments
NEVIS PUBLIC SCHOOL DISTRICT	N	308	19.6	55.6	<1000	61.1	49.50%	Information Not Available	Information Not Available	NWEA-MAP	Star	NWEA-MAP, Star Reading,	NWEA-MAP Tests, Star Reader, Informal Assessments, Reading Eggs
STEPHEN-ARGYLE CENTRAL SCHOOLS	N	2856	12.9	35.9	<1000	62.6	50.00%	Information Not Available	Information Not Available	NWEA-MAP		NWEA Reading Assessments	Information Not Available
TRACY AREA PUBLIC SCHOOL DISTRICT	N	2904	19.6	53.3	<1000	56.7	44.00%	Lucy Calkins, Lindamood-Bell Phoneme Sequencing Program (LiPS), Visual Phonics, Sitton Spelling, Benchmark Literacy	Information Not Available	AIMSweb	NWEA-MAP	AIMSweb (NWF, WRF, ORF, LNF, LSF, PS, Vocabulary, Comprehension), NWEA-MAP	AIMSweb early reading and reading batteries
WORLD LEARNER CHARTER SCHOOL	Y	4016	23.5	18.6	<1000	60.6	N/A	Montessori curriculum		FastBridge		EarlyReading and aReading FastBridge	FastBridgebridge
LAKE OF THE WOODS SCHOOL DISTRICT	N	390	12.8	42.8	<1000	37.9	26.00%	Fountas & Pinnell	Read 180, Words their way, IXL, System 44, Barton system	AIMSweb	FastBridge	LNF, LSF, PA, Word Accuracy, Fluency, Comprehension, Vocabulary	AIMSweb , fastbridge
NOBLE ACADEMY	Y	4171	5.4	67.7	<1000	34.1	30.80%	Super Kids (supplemented by reading eggs, AR-actual books, Author Study, IXL Reading, A-Z leveled readings)	reading eggs, read naturally, visual phonics	NWEA-MAP	Star	NWEA, Star Reading, Reading egss phonics and sight words	
ALDEN-CONGER PUBLIC SCHOOL DISTRICT	N	242	19	37.6	<1000	44.1	29.30%	Fountas & Pinnell reading, spelling and phonics	reading eggs, moby max, SOARreading	FastBridge		LNF, LSF, PA, PS, NWF, ORF, Comp.	FastBridge assessments
Athlos Leadership Academy	Y	4011	8.1	80.7	<1000	35.7	31.00%	Fountas & Pinnell reading	Information Not Available	Benchmark Assessment System	PRESS	Fountas & Pinnell (F&P) Words and Phonics Assessments, F&P Vocabulary Assessments	Fountas & Pinnell (F&P) Words and Phonics Assessments, F&P Vocabulary Assessments, School-generated high frequency word list, PRESS
Hermantown Community Schools	N	700	15.5	20.9	1000-2999	60	45.60%	Benchmark Advanced	LLI, PRESS, Readers Theater, REWARDS, Road to code	Benchmark Assessment System	FastBridge	LNF, LSF, PA, PS, NWF, WS, sight words, CBMreading, aReading	LNF, LSF, PA, PS, NWF, WS, sight words, CBMreading, aReading
CLEVELAND PUBLIC SCHOOL DISTRICT	N	391	14.5	28	<1000	59	40.80%	F & P	Benchmark Literacy Intervention Support /Fountas & Pinnell, Florida Center for Reading Research Intervention, Intervention Central, Study Island	Benchmark Assessment System	FastBridge	FastBridge aReading, CBMreading, F & P Benchmark Literacy, Star Assessments	F & P Benchmark Literacy
MAHNOMEN PUBLIC SCHOOL DISTRICT	N	432	21.4	78.9	<1000	20.3	16.70%	F & P	IXL, Accelrated Reading Program, LLI, Literacy Footprints	Star	Benchmark Assessment System	Benchmark assessment system, star reader, Fry's second 100 HFW	Benchmark assessment system, Fry's second 100 HFW
LA CRESCENT-HOKAH SCHOOL DISTRICT	N	300	17.1	25.3	1000-2999	45.5	24.50%	Journeys Common Core (Houghton Mifflin Harcourt )	LLI, road to code, stepping stones to literacy, sonday system, IRLA-ARC Leveled reading instruction, Lexia, PALS	FastBridge		(letter recognition, letter names and sounds, nonsense words, fluency and aReading)	(letter recognition, letter names and sounds, nonsense words, fluency and aReading)
CANBY PUBLIC SCHOOL DISTRICT	N	891	13.3	46	<1000	57.5	44.00%	Journeys Common Core (Houghton Mifflin Harcourt )	Accelerated Reader (AR)	AIMSweb	Star	AIMSweb benchmarking assessments, Journeys Literacy Assessments, Star Early literacy, Star Reading	AIMSweb
HILLS-BEAVER CREEK SCHOOL DISTRICT	N	671	12	27	<1000	62.5	54.30%	F & P	PALS, Read naturally, great leaps. road to code, barton system, SRA Corrective reading	FastBridge	NWEA-MAP	LNF, LSF, PA, PS, NWF, WS, sight words, CBMreading,, Star Reading Comprehension	FastBridge assessments
HENNING PUBLIC SCHOOL DISTRICT	N	545	16.2	49.7	<1000	56.4	53.70%	Information Not Available	Accelerated Reader AR, IXL	FastBridge		FastBridge Literacy Assessments, Grade level assessments	Information Not Available
Art and Science Academy	Y	4277	18.7	47.2	<1000	52	44.90%	Information Not Available	Information Not Available	FastBridge		LNF, LSF, PA, PS, NWF, WS, OS, high frquency words, CBMreading, aReading	LNF, LSF, PA, PS, NWF, WS, OS, high frquency words, CBMreading
ASPEN ACADEMY	Y	4184	13.6	28	<1000	61.8	22.70%	Information Not Available	LLI, PRESS, Guided Reading , PRESS, SIPPS, Read Naturally	FastBridge	Benchmark Assessment System	earlyReading, aReading, F & P Benchmark assessment system	FastBridge assessments
Aspire Academy Charter School	Y	4280	11.4	>90	<1000	26.9	23.30%	Pearson Reading Street	Information Not Available	NWEA-MAP		NWEA	Information Not Available
Athlos Academy of Saint Cloud	Y	4250	11.4	85.7	<1000	24.7	20.80%	Information Not Available	Information Not Available	DIBELS	FastBridge	DIBELS, FastBridge, PRESS PRESS Phonemic Awareness, Phonics, Fluency, Vocabulary, Comprehension	DIBELS, FastBridge, PRESS PRESS Phonemic Awareness, Phonics, Fluency, Vocabulary, Comprehension
Bdote Learning Center	Y	4226	15.2	80.4	<1000	2.2	2.00%	Benchmark Literacy	Intercession Reading Activities , ADSIS, StarS reading,	FastBridge	NWEA-MAP	FastBridgebridge reading, NWEA	FastBridge
BENSON PUBLIC SCHOOL DISTRICT	N	777	19.2	52	<1000	41.5	30.60%	Journeys Common Core (Houghton Mifflin Harcourt )	Accelerated Reader (AR),	AIMSweb	Star	AIMSweb, Star Reading, NWEA,	AIMSweb, F & P guided reading, curriculum pre/post,
CROOKSTON PUBLIC SCHOOL DISTRICT	N	593	22.7	60.6	1000-2999	44.9	33.70%	Benchmark Literacy	FCRR-Florida Center for Reading Research (K-6), Read Works, PRESS, Jan Richardson, Read Theory, CSA Benchmark and Barton Reading and Spelling System	FastBridge	PRESS	FastBridge earlyreading, onset sounds, sight words, CBM, LS, WS, PRESS, Next Step Jan Richardson	FastBridge CBMs, WS, WB, LS, Barton reading and spelling, Next Step Jan Richardson, F & P LLI
BIRD ISLAND-OLIVIA-LAKE LILLIAN	N	2534	14.4	53	<1000	52.3	41.70%	Information Not Available	PALS, VoWac, Great Leaps, Soar to success, Read Naturally, Earobics, LIPs, Incremental Rehearsal	FastBridge		FastBridge reading assessments	FastBridge reading assessments
NEW CITY SCHOOL	Y	4089	9.7	48	<1000	57.9	39.20%	Expeditionary Learning	PRESS, LLI, Reward Interventions, iReady reading intervention, reading corps interventions	i-Ready	Benchmark Assessment System	iReady reading, PRESS, FP Benchmark Assessment	curriculum assessments
INVER GROVE HEIGHTS SCHOOLS	N	199	15.5	53.7	3000-3999	42.8	26.00%	Literacy by Design and Fountas & Pinnell Classroom	PRESS	FastBridge	NWEA-MAP	FastBridgebridge, DRA-2, NWEA-MAP	FastBridge and PRESS assessments
CROMWELL-WRIGHT PUBLIC SCHOOLS	N	95	17.7	36.7	<1000	58	45.20%	Information Not Available	LLI, AR	Star	FP Text Leveling	Star Reading, F&P Text leveling,	Star Reading, F&P Text leveling,
KENYON-WANAMINGO SCHOOL DISTRICT	N	2172	17.6	35.5	<1000	49.9	24.60%	Journeys by Houghton Mifflin Harcourt	PRESS, GATES, SONDAY, Lets Play Learn, Read Naturally	FastBridge	ESGI Educational Software for Guiding Instruction	ESGI and FastBridge	ESGI and FastBridge
EAST CENTRAL SCHOOL DISTRICT	N	2580	16.3	55.3	<1000	40.4	28.10%	Journeys by Houghton Mifflin Harcourt	PALS, pencil tap, stop/go, great leaps, newscaster, road to code, recipe for reading, manking connections curriculumread naturally	FastBridge		FastBridge reading assessments	FastBridge reading assessments
ESKO PUBLIC SCHOOL DISTRICT	N	99	13.8	16	1000-2999	70.8	52.10%	Journeys by Houghton Mifflin Harcourt	AR	FastBridge	Star	FastBridge, Star, and Storytown assessments, Brigance, high frequency word test	FastBridge and Star assessments
COMFREY PUBLIC SCHOOL DISTRICT	N	81	25.2	52.2	<1000	44.1	38.50%	McGraw-Hill “Treasures”	LiPS/Florida Center for Reading Research/You Can Teach a Child to Read	NWEA-MAP		NWEA-MAP, curriculum pre and post	curriculum and intervention pre/posts
VERNDALE PUBLIC SCHOOL DISTRICT	N	818	26.8	59.8	<1000	39.7	26.50%	Wonders	Guided Reading, SLANT Multisensory Structured Literacy Support, Standards Based instruction, and PRESS, Daily 5	AIMSweb	F&P Benchamrk	AIMSweb, F&P benchmarking, Structured Multi-Sensory Literacy (SLANT)	AIMSweb
HERON LAKE-OKABENA SCHOOL DISTRICT	N	330	20.4	53.4	<1000	33.3	16.90%	McGraw-Hill “Treasures”	AR, Reading A-Z,	FastBridge	Star	FastBridgebridge early, aReading, CBMs, Star Early Literacy Assessment or Star Reading Assessment	FastBridge
CORNERSTONE MONTESSORI ELEMENTARY	Y	4201	15.2	55.1	<1000	65.3	31.80%	Montessori Curriculum	Reading A to Z, American Reading Company Leveled Readers, Skills Cards, take-home reading program, and training and coaching , words their way	FastBridge		FastBridgebridge earlyreading assessments, CBMs	FastBridge
KELLIHER PUBLIC SCHOOL DISTRICT	N	36	19.8	75.1	<1000	42.5	25.00%	F & P	Information Not Available	FastBridge		FastBridgebridge earlyreading assessments, aReading, CBMs	FastBridgebridge earlyreading assessments, CBMs
WARREN-ALVARADO-OSLO SCHOOL DIST.	N	2176	12.5	41.4	<1000	51.8	48.20%	Information Not Available	LLI, reading naturally, reading A TO Z, AR, Making Words	NWEA-MAP		NWEA-MAP, FRY first and second 100 word lists, scholastic essential kind assesment	Information Not Available
LE SUEUR-HENDERSON SCHOOL DISTRICT	N	2397	18.9	39.7	<1000	50.3	38.30%	Information Not Available	LLI	NWEA-MAP		NWEA-MAP, Fluency, curriculum based assessments	NWEA Fluency
CROSBY-IRONTON PUBLIC SCHOOL DIST.	N	182	26.2	51.9	1000-2999	57.7	41.80%	Journeys by Houghton Mifflin Harcourt	Jan Richardson’s Guided Reading	Star		Star early literacy and CBMs, PRESS assessments	Star early literacy and CBMs, PRESS assessments
ROUND LAKE-BREWSTER PUBLIC SCHOOLS	N	2907	6.1	70.3	<1000	38.7	33.10%	F & P	LLI	Benchmark Assessment System	FastBridge	• FastBridge (FastBridge) Literacy Assessments, F & P Benchmark Assessment System	FastBridge, F&P Progress Monitoring system
LAKE CRYSTAL-WELLCOME MEMORIAL	N	2071	20	29.3	<1000	60.3	46.50%	Information Not Available	MAZE, great leps, stop and go, newscaster, pencil tap, duet reading, Barton Reading and Spelling	FastBridge	NWEA-MAP	FastBridge literacy assessmensts - LSF, LNF, NWF, CBMs, NWEA-MAP	FastBridge
OSAKIS PUBLIC SCHOOL DISTRICT	N	213	17.7	41.1	<1000	53	44.20%	F & P	LLI	FastBridge	Benchmark Assessment System	F&P Benchmarking system, FastBridge assessments	FastBridge
NASHWAUK-KEEWATIN SCHOOL DISTRICT	N	319	25.8	54	<1000	47.3	39.80%	Wonders	Information Not Available	Wonders Assessments	Star	wonders assessments, Star, LETRS Assessment system	Star, Wonders monitoring tools
UNDERWOOD PUBLIC SCHOOL DISTRICT	N	550	16.2	42.4	<1000	43.7	32.60%	Benchmark Literacy Reading	FastBridge intervention materials	FastBridge		FastBridge earlyreading, CBMs	FastBridge earlyreading, CBMs
KIMBALL PUBLIC SCHOOL DISTRICT	N	739	20.8	28.8	<1000	53.8	45.10%	Wonders	PALS, LIPS, Reciprocal Reading	FastBridge	Star	FastBridge and Star assessments	FastBridge and Star assessments
ST. PETER PUBLIC SCHOOL DISTRICT	N	508	19.7	44.6	1000-2999	50.8	30.70%	Orton-Gillingha m (Recipe for Reading), Fountas & Pinnell Classroom, Heggerty Literacy Resources,	Orton Gillingham strategies, Heggerty Phonemic Awareness Skill Assessment and Curriculum, PRESS Phonics Assessment and Interventions, and LLI	FastBridge	Benchmark Assessment System	F&P Benchmarking system, FastBridge assessments	FastBridge
MARSHALL COUNTY CENTRAL SCHOOLS	N	441	12.7	39.8	<1000	53.8	51.40%	Information Not Available	Information Not Available	Star		 Star Early Literacy Exam/Star Literacy	Information Not Available
Murray County Central Schools	N	2169	16.1	39.4	<1000	59.3	52.90%	Scholastic Literacy	Information Not Available	AIMSweb	Developmental Reading Assessment (DRA-2)	AIMSweb plus screening/benchmarking system	AIMSweb, curriculum/intervention pre and post
BAGLEY PUBLIC SCHOOL DISTRICT	N	162	17.3	60.9	<1000	29.8	22.80%	Benchmark Advanced	LLI	NWEA-MAP		NWEA-MAP	Information Not Available
Discovery Charter School	Y	4221	18.3	54.5	<1000	46.1	26.70%	Literacy By Design complete literacy by Harcourt Achieve	Information Not Available	Information Not Available		Information Not Available	Information Not Available
Discovery Woods	Y	4198	31.4	56.9	<1000	46.5	41.70%	Montessori (Heggerty for Kindergarten through 2nd, FlyLeaf for Grades 1/2 , Bookworms for Grades 3-6.)	Information Not Available	FastBridge	Star	FastBridge and Star assessments	
MANKATO PUBLIC SCHOOL DISTRICT	N	77	18.8	41.9	5000-9999	55.6	33.40%	Benchmark Literacy Common Core	Information Not Available	DIBELS	NWEA-MAP	DIBELS 8 (MAZE, ORF, WRF, NWF, PSF*, LNF*), NWEA	DIBELS 8
ISLE PUBLIC SCHOOL DISTRICT	N	473	21	63.6	<1000	41.9	40.20%	Scholastic Education reading curriculum	PRESS, ROAR	Star		Star Early Literacy and Star Reading	Star Early Literacy and Star Reading
United South Central Schools	N	2134	15.7	53.3	<1000	51.2	45.80%	Into Reading – Houghton Mifflin Harcourt	Information Not Available	FastBridge	Star	FastBridge and Star assessments	FastBridge assessments, currciculum assessments
HOPE COMMUNITY ACADEMY	Y	4070	6.8	88.3	<1000	22.1	20.70%	Wonders by McGraw-Hill	5+1 Reading pillars, The Fundations reading program, Read Naturally Live	FastBridge		FastBridge earlyReading aReading	FastBridge assessments, currciculum assessments
NICOLLET PUBLIC SCHOOL DISTRICT	N	507	17.9	24.5	<1000	51.5	42.90%	Wonders by McGraw-Hill	soar to success, Barton Reading and Spelling Program, Benchmark Phonics Bags , Read Theory, Read Naturally, Repeated Reading	Star		Star Early Literacy and Star Reading	Information Not Available
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST	N	911	20.2	38.8	5000-9999	50.4	34.50%	Path to Reading Excellence in School Sites (PRESS)	PRESS, ADSIS interventions,	DIBELS	NWEA-MAP	NWEA-MAP and DIBELS	DIBELS early reading assessments, CBMs, MAZE
Blue Earth Area School District	N	2860	15.8	50.8	1000-2999	42.6	26.10%	Houghton-Mifflin Journeys		AIMSweb	Benchmark Assessment System	AIMSweb early literacy and reading assessments, F & P Benchmarking	AIMSweb
HINCKLEY-FINLAYSON SCHOOL DISTRICT	N	2165	19.6	65.1	1000-2999	35.2	27.10%	Information Not Available	PRESS, WonderWorks Intervention Curriculum, Equipped for Reading Success, Word Building, 18 Minute Solution, 6 Minute Solution, Great Lepas, Duet Reading, Phonics for Reading, Voyager, Sidewalk Reading	FastBridge		FastBridge earlyReading aReading, CBMs	FastBridge
EAST CENTRAL SCHOOL DISTRICT	N	2580	16.3	55.3	<1000	40.4	28.10%	Houghton Mifflin Curriculum +PALS (Grades 2-5), SRA Direct Instruction + Signatures K/1 & Classroom Connections (K-1) 	Pencil tap, stop and go, Great Leaps, Road to Code, Recipe for Reading, Read Naturally, Six Minute Solution, Leveled Readers - HM	FastBridge		FastBridge earlyReading aReading, CBMs	FastBridge
FRAZEE-VERGAS PUBLIC SCHOOL DIST.	N	23	23.3	49.5	<1000	48.1	33.60%	Information Not Available	Information Not Available	Star		Star Early literacy and Reading	Star Early literacy and Reading
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT	N	272	13.3	31.8	5000-9999	71.5	38.20%	Information Not Available	Information Not Available	FastBridge		FastBridge earlyReading aReading, CBMs	FastBridge
