School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
PLAINVIEW-ELGIN-MILLVILLE	N	2899	14.3	35.8	1000-2999	58.3	44.90%	Reading Street by Pearson/Scott Foresman, SuperKids	Information Not Available	FastBridge		FAST ORF/CBM-R, earlyreading	FAST ORF/CBM-R, earlyreading
Skyline Math and Science Academy	Y	4255	4.6	>90	<1000	28.6	24.10%	Benchmark Literacy	PRESS	NWEA-MAP		NWEA-MAP	Information Not Available
SOJOURNER TRUTH ACADEMY	Y	4038	14.7	89.8	<1000	10.3	10.20%	Bridge2Read, Geodes, Scott Foresman Reading Street (K), ReadyGen (1st), Journeys (2nd -3rd)	PRESS, Read Naturally	FastBridge	NWEA-MAP	FAST earlyreading, CBM-R, NWEA-MAP	FAST earlyreading, CBM-R
Sejong Academy of Minnesota	Y	4215	6.6	>90	<1000	36.4	34.50%	Making Meaning reading curriculum, Study Island and Reading Eggs	Reading Eggs, Study Island, Starfall, Leveled Readers	NWEA-MAP	Other	NWEA-MAP, Making Meaning curriculum assessments, Study Island pre-tests, Reading Eggs assessment,	Information Not Available
Notre Ecole Academy	Y	4276	12.2	31.7	<1000			Information Not Available	LLI	Benchmark Assessment System	FastBridge	FAST earlyreading, CBM-R, F & P BAS	FAST earlyreading, CBM-R, F & P BAS
ST. PAUL CITY SCHOOL	Y	4029	17.1	89	<1000	17	16.00%	Groves Literacy Framework	Heggerty Phonemic Awareness, Groves Method, IRLA Toolkits, Six Minute Solution, Repeated Reading Intervention, Three by Thirty, Repeated Reading with Comprehension Intervention	FastBridge	Other	Independent Reading Level Assessment (IRLA) and FastBridge earlyreading and CBM assessments	FAST assessments
Agamim Classical Academy	Y	4220	16.4	36.9	<1000	56.3	48.80%	Reading Mastery	Sonday System	FastBridge	NWEA-MAP	SRA’s Direct Instruction Reading Mastery, NWEA-MAP, FAST earlyReading, aReading	NWEA MAP or FastBridge
STEP Academy	Y	4200	6.4	64.2	<1000	42.8	38.70%	Core Knowledge Language Arts (CKLA) curriculum, Guided Reading	Information Not Available	FastBridge	Other	FAST aReading, earlyreading, F & P BAS,	LLI running records, FAST aReading, earlyreading, F & P BAS,
STRIDE Academy	Y	4142	10.3	84.6	<1000	29.9	N/A	Journeys, Guided Reading	Information Not Available	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, BAS,	Information Not Available
Twin Lakes STEM Academy	Y	4239	10.2	>90	<1000	19.1	14.40%	Benchmark Literacy	Information Not Available	NWEA-MAP		MAP early literacy, vocabulary, comprehension, spelling, Curriculum assessments	MAP early literacy, vocabulary, comprehension, spelling, Curriculum assessments
